id,city_name,country,lat,long
0,Amsterdam,Netherlands,52.370216,4.895168
1,Andorra la Vella,Andorra,42.507530,1.521820
2,Antalya,Turkey,36.896893,30.713324
3,Athens,Greece,37.983810,23.727539
4,Barcelona,Spain,41.385063,2.173404
5,Belgrade,Serbia,44.815160,20.282515
6,Berlin,Germany,52.506761,13.284650
7,Bern,Switzerland,46.954588,7.359916
8,Bratislava,Slovakia,48.135695,16.975835
9,Bruges,Belgium,51.260700,3.082027
10,Brussels,Belgium,50.855103,4.305378
11,Bucharest,Romania,44.437804,26.024598
12,Budapest,Hungary,47.481128,18.990221
13,Chisinau,Moldova,46.999848,28.788137
14,Copenhagen,Denmark,55.671247,12.523785
15,Dublin,Ireland,53.324238,-6.385785
16,Dubrovnik,Croatia,42.645756,18.076538
17,Edinburgh,Scotland,55.941189,-3.275378
18,Florence,Italy,43.779937,11.170928
19,Frankfurt,Germany,50.121128,8.636564
20,Helsinki,Finland,60.109868,24.738512
21,Heraklion,Greece,35.330682,25.131719
22,Kiev,Ukraine,50.442375,30.497055
23,Kraków,Poland,50.046745,19.934834
24,Lisbon,Portugal,38.743621,-9.195223
25,Ljubljana,Slovenia,46.066096,14.462060
26,London,United Kingdom,51.528558,-0.241680
27,Luxembourg,Luxembourg,49.814962,5.853145
28,Lyon,France,45.757945,4.800111
29,Madrid,Spain,40.425383,-3.726014
30,Milan,Italy,45.467001,9.160442
31,Monaco,Monaco,43.736802,7.420229
32,Mugla,Turkey,37.016275,28.113529
33,Munich,Germany,48.149612,11.536766
34,Nice,France,43.691508,7.200713
35,Oslo,Norway,59.906384,10.704941
36,Paris,France,48.857080,2.316216
37,Podgorica,Montenegro,42.430434,19.236673
38,Porto,Portugal,41.158303,-8.643144
39,Prague,Czech Republic,50.075492,14.403469
40,Rhodes,Greece,36.307387,27.983099
41,Riga,Latvia,56.971679,23.988993
42,Rome,Italy,41.901416,12.464212
43,San Marino,San Marino,43.933129,12.442520
44,Sarajevo,Bosnia & Herzegovina,43.878132,18.365120
45,Sevilla,Spain,37.384057,-5.988515
46,Skopje,North Macedonia,42.000275,21.412665
47,Sofia,Bulgaria,42.692444,23.313189
48,Stockholm,Sweden,59.322918,18.048856
49,Tallinn,Estonia,59.453995,24.733705
50,Tirana,Albania,41.330504,19.813862
51,Vaduz,Liechtenstein,47.141908,9.513971
52,Venice,Italy,45.424244,12.302962
53,Vienna,Austria,48.204301,16.365596
54,Vilnius,Lithuania,54.688693,25.204679
55,Warsaw,Poland,52.240598,20.999279
56,Zagreb,Croatia,45.822321,15.953503